answer_llm,answer_orig,document,question,course
"No, while the Machine Learning part of the course only requires a working laptop with an internet connection, the Deep Learning part is more resource-intensive. For the Deep Learning part, you can use a cloud service, and the course uses Saturn Cloud, but it can be any other cloud service.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp
Here is an article that worked for the course teaching assistant: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.,Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Yes, there is a guide to set up TensorFlow with GPU support on Ubuntu. You can refer to the article at this link: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To configure GPU support for TensorFlow on your Ubuntu machine, you need to set up CUDA and cuDNN. Here's a simplified guide:

1. **Install Nvidia drivers**: Download and install the appropriate drivers from the Nvidia website.
2. **Install CUDA toolkit**: Download and install the CUDA toolkit version 11.x.x from the Nvidia developer website.
3. **Install cuDNN**: Download and install cuDNN from the Nvidia Developer website.
4. **Set environment variables**: Add the CUDA toolkit directory to your environment variables.
5. **Install TensorFlow with GPU support**: Use pip to install TensorFlow with GPU support.

Make sure to follow these steps carefully to avoid any issues.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp
Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.,Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Can you direct me to a resource for installing TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To set up TensorFlow with GPU support on Ubuntu, you can follow these steps:

1. **Install Nvidia Drivers**: Download and install the appropriate Nvidia drivers from the official Nvidia website.


2. **Install Anaconda**: Download and install Anaconda from the official Anaconda website.


3. **Install TensorFlow with GPU Support**:


  * You can install TensorFlow with GPU support using Anaconda by running the command: `conda install tensorflow-gpu`.
  * Alternatively, you can install TensorFlow with GPU support using pip by following the instructions on the TensorFlow website.
	
4. **Install CUDA Toolkit**: Download and install the CUDA Toolkit from the Nvidia Developer website.


5. **Install cuDNN**: Download and install cuDNN from the Nvidia Developer website.


6. **Set Environment Variables**: Add the CUDA toolkit and cuDNN directories to your system's PATH and LD_LIBRARY_PATH environment variables.


7. **Verify Installation**: Verify that TensorFlow is utilizing the GPU by running a simple TensorFlow program and checking the output.


For more detailed instructions, you can refer to the article mentioned in the FAQ.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,What is the procedure to set up TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Here’s how you join a channel in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,How can I join a channel in Slack?,machine-learning-zoomcamp
"Here’s how you join a channel in Slack: https://slack.com/help/articles/205239967-Join-a-channel.

1. Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
2. Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
3. Select a channel from the list to view it.
4. Click Join Channel.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,What steps should I follow to find course channels on Slack?,machine-learning-zoomcamp
Yes. Whoever corrects the homework will only be able to access the link if the repository is public.,"Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Is there a need to give the URL to our GitHub repo?,machine-learning-zoomcamp
You are required to provide the URL to your repo in order to receive a grade.,"Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Where do I provide the GitHub URL for our homework?,machine-learning-zoomcamp
"To join a Slack channel, follow these steps: 

1. Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
2. Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
3. Select a channel from the list to view it.
4. Click Join Channel.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,Can you show me how to join a Slack channel?,machine-learning-zoomcamp
