answer_llm,answer_orig,document,question,course
"Yes, you can still interact with instructors after missing a session. The course offers office hours, where you can ask questions in advance, and they will be covered during the live stream. Additionally, you can always ask questions in Slack.","Everything is recorded, so you won’t miss anything. You will be able to ask your questions for office hours in advance and we will cover them during the live stream. Also, you can always ask questions in Slack.",5170565b,Can I still interact with instructors after missing a session?,machine-learning-zoomcamp
"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc). The focus is more on practice, and the theory will be covered only on an intuitive level. Around ~10 hours per week.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,How much theoretical content is there in the course?,machine-learning-zoomcamp
"Yes, the course will cover theoretical derivations like the gradient update rule for logistic regression.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course cover theoretical derivations like the gradient update rule for logistic regression?,machine-learning-zoomcamp
"The course focuses more on practice than theory. The theory will only be covered on an intuitive level, and the course will not derive complex mathematical formulas.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Is the focus of the course more on practice or theory?,machine-learning-zoomcamp
"You can find more about the theoretical topics not covered in this course in the following places:
- ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev
- Vectors | Chapter 1, Essence of linear algebra by 3Blue1Brown
- Full article by Timur Kamaliev.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Where can I find more about the theoretical topics not covered in this course?,machine-learning-zoomcamp
"Yes, the course will cover how to use logistic regression and interpret its results.","The bare minimum. The focus is more on practice, and we'll cover the theory only on the intuitive level.: https://mlbookcamp.com/article/python
For example, we won't derive the gradient update rule for logistic regression (there are other great courses for that), but we'll cover how to use logistic regression and make sense of the results.",ecca790c,Will the course help me understand how to use logistic regression and interpret its results?,machine-learning-zoomcamp
"Yes, there is a small amount of linear algebra covered in the course, but the focus is on coding.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Is prior knowledge in math necessary for this course?,machine-learning-zoomcamp
"The course will cover some linear algebra, but it will focus more on practice than theory. The course will cover the theory on an intuitive level, rather than deriving complex formulas. The course will provide the bare minimum of theory, with a focus on practical applications.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,What type of mathematical content will be covered?,machine-learning-zoomcamp
"Yes, there are resources available to help with linear algebra. You can watch the ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there resources available to help with linear algebra?,machine-learning-zoomcamp
"Yes, you can seek help from the community for math-related questions.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Can I seek help from the community for math-related questions?,machine-learning-zoomcamp
"Yes, there are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown: Vectors | Chapter 1, Essence of linear algebra.","Yes! We'll cover some linear algebra in the course, but in general, there will be very few formulas, mostly code.
Here are some interesting videos covering linear algebra that you can already watch: ML Zoomcamp 1.8 - Linear Algebra Refresher from Alexey Grigorev or the excellent playlist from 3Blue1Brown Vectors | Chapter 1, Essence of linear algebra. Never hesitate to ask the community for help if you have any question.
(Mélanie Fouesnard)",c25b3de4,Are there any recommended videos for learning linear algebra?,machine-learning-zoomcamp
"If you haven't received a confirmation email after filling out the form, it's possible that it ended up in your promotions tab in Gmail or spam. Additionally, if you unsubscribed from the newsletter, you won't receive course-related updates. To ensure you don't miss any important information, you can join the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements. These channels will provide enough information to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,What should I do if I haven't received a confirmation email after filling out the form?,machine-learning-zoomcamp
"Yes, it's possible. If you haven’t received a confirmation email, check your promotions tab in Gmail as well as spam.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Is it possible my confirmation email went to my spam folder?,machine-learning-zoomcamp
"Yes, if you unsubscribe from the newsletter, you will not receive course-related updates.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Can unsubscribing from the newsletter affect receiving course updates?,machine-learning-zoomcamp
You can join the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements to follow the course.,"The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,Where can I get course updates if I don’t receive the confirmation email?,machine-learning-zoomcamp
"If you are having email issues, you can stay informed about the course by joining the #course-ml-zoomcamp channel in Slack and the Telegram channel with announcements. These channels will provide you with the necessary updates and information to follow the course.","The process is automated now, so you should receive the email eventually. If you haven’t, check your promotions tab in Gmail as well as spam.
If you unsubscribed from our newsletter, you won't get course related updates too.
But don't worry, it’s not a problem. To make sure you don’t miss anything, join the #course-ml-zoomcamp channel in Slack and our telegram channel with announcements. This is enough to follow the course.",6ba259b1,How can I stay informed about the course if I'm having email issues?,machine-learning-zoomcamp
4 months.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What is the duration of the course?,machine-learning-zoomcamp
4 months.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,How many months does the course take?,machine-learning-zoomcamp
"Yes, the course may take more than 4 months if you want to do some extra activities, such as an extra project or an article.","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Can the course take more than 4 months?,machine-learning-zoomcamp
"Yes, the course is available in a self-paced mode, so you can go through the materials at any time. However, if you want to do it as a cohort with other students, the next iterations will happen in September 2023 and September 2024 (and potentially other Septembers as well).","Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,Is it possible to extend the course duration?,machine-learning-zoomcamp
Extra activities such as an additional project or article may prolong the course beyond its usual 4-month duration.,"Approximately 4 months, but may take more if you want to do some extra activities (an extra project, an article, etc)",67e2fd13,What extra activities might extend the course time?,machine-learning-zoomcamp
10 hours per week.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How many hours per week should I allocate for this course?,machine-learning-zoomcamp
Timur Kamaliev.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Who analyzed the time needed for different modules?,machine-learning-zoomcamp
10 hours.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,How much time did students of the previous cohort spend weekly?,machine-learning-zoomcamp
"The course is estimated to take around 10 hours per week, as per a detailed analysis by Timur Kamaliev from the previous cohort.",Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Can you give an estimated weekly time commitment for the course?,machine-learning-zoomcamp
You can find the detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects in the article written by Timur Kamaliev.,Around ~10 hours per week. Timur Kamaliev did a detailed analysis of how much time students of the previous cohort needed to spend on different modules and projects. Full article,a6897e8c,Where can I find the detailed analysis of study time requirements?,machine-learning-zoomcamp
"To earn a certificate in this course, you need to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline. It is not necessary to submit all 3 projects to receive a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,How can I earn a certificate in this course?,machine-learning-zoomcamp
"To receive a certificate, you must submit at least two of the three course projects and review three peers' projects by the deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What are the requirements to receive a certificate?,machine-learning-zoomcamp
"Yes, you need to complete at least 2 out of 3 projects and review 3 peers’ projects by the deadline to get a certificate.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Do I need to complete all projects to get a certificate?,machine-learning-zoomcamp
"The deadline to qualify for the certificate is the submission deadline for the course projects and peer reviews. To be eligible for the certificate, you need to submit 2 out of 3 course projects and review 3 peers’ projects by this deadline.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,What is the deadline to qualify for the certificate?,machine-learning-zoomcamp
"Yes, there is an option for a certificate without a robot image.","Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate. This is what it looks like: link. There’s also a version without a robot: link.",2eba08e3,Is there an option for a certificate without a robot image?,machine-learning-zoomcamp
"Yes, if you finish at least 2 out of 3 projects and review 3 peers’ Projects by the deadline, you will get a certificate.","Yes, it's possible. See the previous answer.",1d644223,Will I receive a certificate if I don't complete the midterm project?,machine-learning-zoomcamp
"Yes, it's possible. You can still get a certificate even if you missed the midterm project.","Yes, it's possible. See the previous answer.",1d644223,Can I still graduate without submitting the midterm project?,machine-learning-zoomcamp
"Yes, you can still join the course and be eligible for a certificate. You need to submit 2 out of 3 course projects and review 3 peers’ Projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Am I eligible for certification if I missed the midterm project?,machine-learning-zoomcamp
"Yes, it is mandatory to complete the midterm project for the certificate.","Yes, it's possible. See the previous answer.",1d644223,Is it mandatory to complete the midterm project for the certificate?,machine-learning-zoomcamp
"Yes, you can still join the course and be eligible for a certificate. You need to submit 2 out of 3 course projects and review 3 peers’ projects by the deadline.","Yes, it's possible. See the previous answer.",1d644223,Does missing the midterm project affect my certification eligibility?,machine-learning-zoomcamp
"The course requires students to know some basics of Python, such as how to run a Jupyter notebook, how to import libraries and what libraries are, how to declare a variable and what variables are, and some important operations regarding data analysis. It is recommended to follow a free English course from the OpenClassrooms e-learning platform, which covers these basics.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What Python basics are required for this course?,machine-learning-zoomcamp
"You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the Python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Where can I learn the necessary Python knowledge for this course?,machine-learning-zoomcamp
"Running a Jupyter notebook is crucial for this course because it allows students to execute code, visualize data, and perform experiments interactively. Additionally, understanding how to run a Jupyter notebook is essential for creating and sharing reproducible research, as it enables others to run and verify the code independently. This skill is particularly important for the midterm project, where peers need to review the train.py file to cross-check the training process on their systems.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,Why is it important to know how to run a Jupyter notebook for this course?,machine-learning-zoomcamp
"For this course, you should know the basics of Python, such as how to run a Jupyter notebook, how to import libraries and what libraries are, how to declare a variable and what variables are, and some important operations regarding data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,What basic operations regarding data analysis should I know for this course?,machine-learning-zoomcamp
"To learn how to declare variables in Python for this course, you can follow the OpenClassrooms e-learning platform course, ""Learn Python Basics for Data Analysis."" This course covers the basics of Python, including how to declare a variable and what variables are. Additionally, you can refer to the article provided in the course, which includes essential Python concepts for data analysis.","Check this article. If you know everything in this article, you know enough. If you don’t, read the article and join the coursIntroduction to Pythone too :)
Introduction to Python – Machine Learning Bookcamp
You can follow this English course from the OpenClassrooms e-learning platform, which is free and covers the python basics for data analysis: Learn Python Basics for Data Analysis - OpenClassrooms . It is important to know some basics such as: how to run a Jupyter notebook, how to import libraries (and what libraries are), how to declare a variable (and what variables are) and some important operations regarding data analysis.
(Mélanie Fouesnard)",14890cd2,How can I learn to declare variables in Python for this course?,machine-learning-zoomcamp
"Yes, for the Deep Learning part, you can use a cloud service. The course suggests using Saturn Cloud, but other options like AWS and GCP are also available. These cloud services offer free micro-instances for an extended period, along with additional free resources.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,"Are there any specific hardware requirements for the course, or is everything mainly based on cloud services?",machine-learning-zoomcamp
"Yes, all you need is a working laptop with an internet connection for the Machine Learning section. The Deep Learning section is more resource-intensive, but you can use a cloud for that.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Do I just need a laptop and internet for the Machine Learning section?,machine-learning-zoomcamp
"Yes, the Deep Learning part of the course is more resource-intensive than the Machine Learning part. While the Machine Learning part only requires a working laptop with an internet connection, the Deep Learning part requires more resources and can be run on a cloud service like Saturn Cloud.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is the Deep Learning part of the course more resource-intensive than the Machine Learning part?,machine-learning-zoomcamp
"Yes, Saturn Cloud can be used for the Deep Learning part of the course.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Can Saturn Cloud be used for the Deep Learning part of the course?,machine-learning-zoomcamp
"Yes, you can use a cloud service other than Saturn Cloud for the Deep Learning section.","For the Machine Learning part, all you need is a working laptop with an internet connection. The Deep Learning part is more resource intensive, but for that you can use a cloud (we use Saturn cloud but can be anything else).
(Rileen Sinha; based on response by Alexey on Slack)",a4fad482,Is it possible to use a cloud service other than Saturn Cloud for the Deep Learning section?,machine-learning-zoomcamp
"You can find instructions to install TensorFlow GPU on Ubuntu in the following sections of the FAQ database:

1. General course-related questions
2. Neural Networks and Deep Learning
3. Miscellaneous",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Where can I find instructions to install TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Yes, there is an article that worked for the course instructor: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Is there a guide to set up TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To configure GPU support for TensorFlow on your Ubuntu machine, you need to install CUDA and cuDNN. Here are the steps:

1. Install Nvidia drivers. You can find the drivers on the Nvidia website.


2. Install Anaconda prompt from the Anaconda website.


3. Install TensorFlow with CUDA support. You can do this by adding the TensorFlow GPU package in Anaconda or by following the TensorFlow installation guide.


4. Make sure to follow the steps to install CUDA by environment.


5. Run the following command to install the CUDA toolkit and cuDNN:


```
echo ‘export XLA_FLAGS=--xla_gpu_cuda_data_dir=$CONDA_PREFIX/lib/> $CONDA_PREFIX/etc/conda/activate.d/env_vars.sh
```


6. Install the TensorFlow way by following the instructions on the TensorFlow website.


7. Now you should be able to do training/inference with GPU in TensorFlow.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,How do I configure GPU support for TensorFlow on my Ubuntu machine?,machine-learning-zoomcamp
Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/.,Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,Can you direct me to a resource for installing TensorFlow with GPU on Ubuntu?,machine-learning-zoomcamp
"To set up TensorFlow with GPU support on Ubuntu, follow these steps:

1. Install Nvidia drivers from the official Nvidia website.
2. Install Anaconda prompt from the Anaconda website.
3. Create a new Anaconda environment and install TensorFlow-GPU using pip.
4. Install CUDA toolkit 11.x.x from the Nvidia developer website.
5. Install cuDNN from the Nvidia developer website.
6. Set the environment variable `XLA_FLAGS` to point to the CUDA library directory.
7. Verify the installation by running a TensorFlow GPU example.",Here is an article that worked for me: https://knowmledge.com/2023/12/07/ml-zoomcamp-2023-project/,34b7fd35,What is the procedure to set up TensorFlow GPU on Ubuntu?,machine-learning-zoomcamp
"Here’s how you join a channel in Slack:

1. Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
2. Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
3. Select a channel from the list to view it.
4. Click Join Channel.","Here’s how you join a in Slack: https://slack.com/help/articles/205239967-Join-a-channel
Click “All channels” at the top of your left sidebar. If you don't see this option, click “More” to find it.
Browse the list of public channels in your workspace, or use the search bar to search by channel name or description.
Select a channel from the list to view it.
Click Join Channel.
Do we need to provide the GitHub link to only our code corresponding to the homework questions?
Yes. You are required to provide the URL to your repo in order to receive a grade",4930aa19,How can I join a channel in Slack?,machine-learning-zoomcamp
